"season","opponent","data","player","solo","ast","tot","tfl_yds","tfl","sack_yds","sacks","ff","fr_yds","fumbl","int","int_1","brup","blkd","qh","team"
2017,"Lewis and Clark College","defense","Samuel Ness","-","2","2","0.5/1","0.5","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2017,"Lewis and Clark College","defense","Michael Porter","2","-","2","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2017,"Lewis and Clark College","defense","Nick Gott","2","-","2","2.0/17","2.0","1.0/15","1.0","-","0-0","-/-","-","-","-","-","-","away"
2017,"Lewis and Clark College","defense","Lukas Svitek","1","1","2","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2017,"Lewis and Clark College","defense","Victor Bunce","1","-","1","-/-","-","-/-","-","-","0-0","-/-","1-7","1","-","-","-","away"
2017,"Lewis and Clark College","defense","Geno Quaid","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","1","-","-","away"
2017,"Lewis and Clark College","defense","Cade Moffatt","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2017,"Lewis and Clark College","defense","C. Henderson","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2017,"Lewis and Clark College","defense","Alex Plunk","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2017,"Lewis and Clark College","defense","David Chen","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2017,"Lewis and Clark College","defense","Frankie Rayis","-","1","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2017,"Lewis and Clark College","defense","Connor Sinclair","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2017,"Lewis and Clark College","defense","Jae Kinney","1","-","1","1.0/1","1.0","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2017,"Lewis and Clark College","defense","Luke Livingston","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2017,"Lewis and Clark College","defense","Kanoa Gilliland","1","-","1","-/-","-","-/-","-","1","1-0","-/-","-","-","-","-","-","away"
2017,"Lewis and Clark College","defense","Elijah Jackson","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2017,"Lewis and Clark College","defense","TEAM","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2017,"Occidental College","defense","B. MacDonald","4","4","8","1.5/6","1.5","1.5/6","1.5","1","1-1","1/-","-","-","-","-","-","home"
2017,"Occidental College","defense","R. Weissenfels","2","3","5","0.5/-","0.5","-/-","-","-","0-0","-/-","-","-","1","1","-","home"
2017,"Occidental College","defense","Samuel Ness","3","2","5","1.0/1","1.0","1.0/1","1.0","-","0-0","-/-","-","-","-","-","-","home"
2017,"Occidental College","defense","Connor Lehner","2","3","5","-/-","-","-/-","-","-","0-0","-/-","-","-","1","-","-","home"
2017,"Occidental College","defense","Mitchell Allan","-","4","4","1.5/6","1.5","1.0/5","1.0","-","0-0","-/-","-","-","-","-","-","home"
2017,"Occidental College","defense","Luke Livingston","-","3","3","1.5/7","1.5","1.5/7","1.5","-","0-0","-/-","-","-","-","-","-","home"
2017,"Occidental College","defense","M. Cooney","2","-","2","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2017,"Occidental College","defense","M. Stuppiello I","1","1","2","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2017,"Occidental College","defense","Kevin Shoyer","1","1","2","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2017,"Occidental College","defense","Victor Bunce","2","-","2","-/-","-","-/-","-","-","0-0","-/-","1-0","1","1","-","-","home"
2017,"Occidental College","defense","Geno Quaid","1","1","2","-/-","-","-/-","-","-","0-0","-/-","-","-","1","-","-","home"
2017,"Occidental College","defense","Lukas Svitek","-","2","2","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2017,"Occidental College","defense","Will Buckstaff","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2017,"Occidental College","defense","Ethan Takeyama","-","1","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2017,"Occidental College","defense","Michael Porter","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2017,"Occidental College","defense","Alex Plunk","-","1","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2017,"Occidental College","defense","David Chen","-","1","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2017,"Occidental College","defense","Frankie Rayis","-","1","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2017,"Occidental College","defense","Jack Cavellier","-","1","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2017,"Occidental College","defense","Connor Sinclair","1","-","1","1.0/10","1.0","1.0/10","1.0","-","0-0","-/-","-","-","-","-","-","home"
2017,"Occidental College","defense","Zachary Ralston","-","1","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2017,"Occidental College","defense","Kanoa Gilliland","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2017,"Occidental College","defense","Elijah Jackson","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2017,"Occidental College","defense","Chris Garcia","5","5","10","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2017,"Occidental College","defense","Jackson Caudle","8","2","10","1.0/5","1.0","1.0/5","1.0","-","0-0","-/-","-","-","-","-","-","away"
2017,"Occidental College","defense","Travis Swanson","4","3","7","-/-","-","-/-","-","-","0-1","1/-","-","-","-","1","-","away"
2017,"Occidental College","defense","Josiah Sheffie","3","4","7","-/-","-","-/-","-","-","0-0","-/-","-","-","1","-","-","away"
2017,"Occidental College","defense","Joey Garza","4","3","7","1.0/2","1.0","1.0/2","1.0","-","0-0","-/-","-","-","-","-","-","away"
2017,"Occidental College","defense","Billy Grossman","5","1","6","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2017,"Occidental College","defense","C. Saludares","3","2","5","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2017,"Occidental College","defense","H. Wakefield","3","2","5","1.0/4","1.0","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2017,"Occidental College","defense","Christian Clark","2","2","4","-/-","-","-/-","-","-","0-0","-/-","-","-","1","-","-","away"
2017,"Occidental College","defense","Josh Yee","2","2","4","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2017,"Occidental College","defense","Gavin Campbell","1","2","3","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2017,"Occidental College","defense","Javion Tinsley","2","-","2","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
