"season","player","jersey","opponent","data","player_squish","solo","ast","tot","tfl_yds","tfl","sack_yds","sacks","ff","fr_yds","fumbl","int","int_1","brup","blkd","qh","team","game_id","class","school","position","height","weight","hometown","highschool","hometown_hs","url"
2009,"Dillon Tucker",NA,"Occidental College","defense","dillon tucker","2","-","2","-/-","-","-/-","-","-","0-0","-/-","1-2","1","-","-","-","away",7488,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Greg Holsworth",NA,"Occidental College","defense","greg holsworth","2","4","6","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away",7488,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Jesse Fischer",NA,"Occidental College","defense","jesse fischer","2","2","4","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away",7488,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Jim Hildensperger",NA,"Occidental College","defense","jim hildensperger","3","1","4","1.0/8","1.0","1.0/8","1.0","-","0-0","-/-","-","-","-","-","1","away",7488,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Jordan Inabnit",NA,"Occidental College","defense","jordan inabnit","-","-","-","-/-","-","-/-","-","-","0-0","-/-","-","-","-","1","-","away",7488,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Jordan Washington",NA,"Occidental College","defense","jordan washington","3","-","3","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away",7488,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Josh Beck",NA,"Occidental College","defense","josh beck","5","3","8","2.0/11","2.0","-/-","-","-","0-0","-/-","-","-","-","-","-","away",7488,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Kyle Kazarian",NA,"Occidental College","defense","kyle kazarian","-","1","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away",7488,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Kyle Spaulding",NA,"Occidental College","defense","kyle spaulding","4","2","6","0.5/2","0.5","0.5/2","0.5","-","0-0","-/-","-","-","-","-","-","away",7488,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Mike Jorgenson",NA,"Occidental College","defense","mike jorgenson","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away",7488,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Nate Proulx",NA,"Occidental College","defense","nate proulx","2","-","2","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away",7488,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Robert Michel",NA,"Occidental College","defense","robert michel","-","-","-","-/-","-","-/-","-","-","0-0","-/-","1-29","1","-","-","-","away",7488,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Ryan Rodriguez",NA,"Occidental College","defense","ryan rodriguez","-","1","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away",7488,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Schuyler Ross",NA,"Occidental College","defense","schuyler ross","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away",7488,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Tommy Andre",NA,"Occidental College","defense","tommy andre","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away",7488,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Trace Wallace",NA,"Occidental College","defense","trace wallace","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away",7488,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Zac Perkins",NA,"Occidental College","defense","zac perkins","4","4","8","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away",7488,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Dan Picciotto",2,"Pomona-Pitzer","defense","dan picciotto","2","3","5","1.5/9","1.5","-/-","-","-","0-0","-/-","1-0","1","-","-","-","home",7494,"Sr.",NA,"DB","6-1",NA,NA,NA,"Tigard, OR / Tigard","https://cmsathletics.org/sports/football/roster/2009?view=2"
2009,"Dane Rymer",4,"Pomona-Pitzer","defense","dane rymer","4","4","8","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","1","home",7494,"Sr.",NA,"DB","6-1",NA,NA,NA,"Phoenix, AZ / Valley Christian","https://cmsathletics.org/sports/football/roster/2009?view=2"
2009,"D.j. Lillard",9,"Pomona-Pitzer","defense","dj lillard","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home",7494,"Sr.",NA,"RB","5-11",NA,NA,NA,"Phoenix, AZ / Valley Lutheran","https://cmsathletics.org/sports/football/roster/2009?view=2"
2009,"Corbin Tognoni",11,"Pomona-Pitzer","defense","corbin tognoni","3","3","6","-/-","-","-/-","-","-","0-0","-/-","-","-","1","-","-","home",7494,"So.",NA,"DB","6-2",NA,NA,NA,"Andover, MA / Phillips Academy","https://cmsathletics.org/sports/football/roster/2009?view=2"
2009,"Adam Morris",14,"Pomona-Pitzer","defense","adam morris","3","4","7","0.5/4","0.5","-/-","-","-","0-0","-/-","-","-","1","-","1","home",7494,"Jr.",NA,"LB","5-7",NA,NA,NA,"Honolulu, HI / Punahou","https://cmsathletics.org/sports/football/roster/2009?view=2"
